10.0,
9.0,
3.0,
2.0,
2.0,
3.0,
9.0,
2.0,
3.0,
2.0,
2.0,
2.0,
2.0,
2.0,
2.0,
5.0,
13.0,
1.0,
2.0,
2.0,
5.0,
5.0,
3.0,
2.0,
2.0,
3.0,
2.0,
3.0,
1.0,
2.0,
2.0,
2.0,
3.0,
17.0,
2.0,
4.0,
2.0,
2.0,
3.0,
2.0,
5.0,
4.0,
5.0,
1.0,
5.0,
2.0,
5.0,
2.0,
1.0,
2.0,
6.0,
1.0,
11.0,
2.0,
3.0,
6.0,
3.0,
4.0,
1.0,
3.0,
2.0,
3.0,
2.0,
2.0,
2.0,
2.0,
3.0,
2.0,
2.0,
17.0,
11932.0,2564.0,2839.0,3015.0,2476.0,2250.0,5738.0,2305.0,2174.0,2179.0,2938.0,2094.0,2088.0,3571.0,2365.0,17144.0,2286.0,2224.0,2097.0,2568.0,5698.0,6092.0,1807.0,2741.0,1734.0,1660.0,2678.0,2487.0,2023.0,2481.0,2609.0,16676.0,2418.0,3591.0,7216.0,2047.0,2438.0,2236.0,2039.0,3879.0,5951.0,2100.0,2015.0,2048.0,2007.0,2146.0,2276.0,92763.0,2071.0,2023.0,